iteration,time_per_iteration,total_elapsed_time,average_regret,max_regret,unique_scenarios_visited,scenario_coverage_0_10,scenario_coverage_11_25,scenario_coverage_26_50,scenario_coverage_51_100,scenario_coverage_100_plus,total_possible_scenarios,scenario_coverage_percentage,hand_category_offsuit_broadway_visits,hand_category_premium_aces_visits,hand_category_suited_gappers_visits,hand_category_medium_pairs_visits,hand_category_suited_connectors_visits,hand_category_medium_aces_visits,hand_category_suited_broadway_visits,hand_category_weak_aces_visits,hand_category_premium_pairs_visits,hand_category_small_pairs_visits,hand_category_trash_visits
1370,2.265578269958496,311.73612356185913,0.6436651371265779,17.405050505050504,164,116,48,0,0,0,220,74.55,125,124,124,125,124,125,125,124,125,124,125.0
1380,2.229663133621216,313.96578669548035,0.6462038125923686,17.405050505050504,164,116,48,0,0,0,220,74.55,125,125,126,125,126,126,125,125,125,126,126.0
1390,2.249202013015747,316.2149887084961,0.6500412936774893,17.405050505050504,164,115,49,0,0,0,220,74.55,126,126,127,126,126,127,127,126,127,126,126.0
1400,2.295745372772217,318.5107340812683,0.6436963422128977,17.405050505050504,165,116,49,0,0,0,220,75.0,127,127,127,128,128,127,127,127,127,127,128.0
1410,2.3510262966156006,320.8617603778839,0.6476970101029441,17.405050505050504,165,116,49,0,0,0,220,75.0,129,129,128,128,128,128,128,128,128,128,128.0
1420,2.3478963375091553,323.20965671539307,0.653197135988042,17.405050505050504,165,116,49,0,0,0,220,75.0,129,129,129,129,129,130,129,129,129,129,129.0
1430,2.2573063373565674,325.46696305274963,0.6552140941133473,17.405050505050504,165,114,51,0,0,0,220,75.0,130,130,130,130,130,130,130,130,130,130,130.0
1440,2.2756965160369873,327.7426595687866,0.662485910565317,17.405050505050504,165,113,52,0,0,0,220,75.0,131,131,131,131,131,131,130,131,131,131,131.0
1450,2.2607343196868896,330.0033938884735,0.6744375409125385,17.405050505050504,165,111,54,0,0,0,220,75.0,132,132,132,132,132,132,132,132,131,132,131.0
1460,2.240556478500366,332.2439503669739,0.6794199743998263,17.405050505050504,165,109,56,0,0,0,220,75.0,132,133,133,132,133,133,132,133,133,133,133.0
1470,2.2786548137664795,334.52260518074036,0.6809529184320334,17.755050505050505,165,109,56,0,0,0,220,75.0,134,133,134,133,134,133,134,134,134,134,133.0
1480,2.268632650375366,336.7912378311157,0.6798632596351749,17.755050505050505,165,109,56,0,0,0,220,75.0,135,134,134,135,134,135,134,134,135,135,135.0
1490,2.2519755363464355,339.04321336746216,0.6868136926552596,17.755050505050505,165,108,57,0,0,0,220,75.0,136,136,135,136,136,135,135,135,135,136,135.0
1500,2.301191568374634,341.3444049358368,0.7010162897118856,20.02171717171717,165,107,58,0,0,0,220,75.0,137,137,136,136,136,136,137,136,137,136,136.0
1510,2.2534453868865967,343.5978503227234,0.7063278886504134,20.02171717171717,165,106,59,0,0,0,220,75.0,137,137,137,137,138,138,137,137,137,137,138.0
1520,2.2945475578308105,345.8923978805542,0.710367165969127,20.02171717171717,165,104,61,0,0,0,220,75.0,138,138,138,138,138,139,138,138,139,138,138.0
1530,2.3581714630126953,348.2505693435669,0.7127336256742169,20.330050505050504,165,104,61,0,0,0,220,75.0,139,139,139,139,139,139,139,139,140,139,139.0
1540,2.3360908031463623,350.58666014671326,0.7181607772168668,20.330050505050504,165,104,61,0,0,0,220,75.0,140,140,140,140,140,140,140,140,140,140,140.0
